//first line
0,YOU ARE SITTING IN FRONT OF A COMPUTER LEARNING JAVA.
U,112
136,YOU ARE IN A TWISTY MAZE OF LITTLE PASSAGES, ALL DIFFERENT.
Q,0
E,107
W,131
U,132
SW,133
D,134
S,135
NW,137
SE,138
NE,139
N,112
137,YOU ARE IN A LITTLE TWISTY MAZE OF PASSAGES, ALL DIFFERENT.
Q,0
SE,107
NE,131
S,132
D,133
U,134
NW,135
N,136
SW,138
E,139
W,112
138,YOU ARE IN A MAZE OF LITTLE TWISTING PASSAGES, ALL DIFFERENT.
Q,0
D,107
E,131
NE,132
U,133
W,134
N,135
S,136
SE,137
SW,139
NW,112
139,YOU ARE IN A MAZE OF LITTLE TWISTY PASSAGES, ALL DIFFERENT.
Q,0
SW,107
NW,131
E,132
W,133
N,134
D,135
SE,136
U,137
S,138
NE,112
140,DEAD END
Q,0
N,112
